COMMENT,Currency,RECO_PER,Measure_Type,Entry_Type,Area_Operation,DMID,TIME_PERIOD
N_A,N_A,M6M12,N_A,DEBIT,GL_OP,S2934,2019-Q2
N_A,INR,M6M12,N_A,ADEBIT,GL_OP,S2935,2019-Q2
N_A,N_A,M6M12,N_A,CREDIT,GL_OP,S2936,2019-Q2
N_A,INR,M6M12,N_A,ACREDIT,GL_OP,S2937,2019-Q2
N_A,N_A,Y1Y2,N_A,DEBIT,GL_OP,S2938,2019-Q2
N_A,INR,Y1Y2,N_A,ADEBIT,GL_OP,S2939,2019-Q2
N_A,N_A,Y1Y2,N_A,CREDIT,GL_OP,S2940,2019-Q2
N_A,INR,Y1Y2,N_A,ACREDIT,GL_OP,S2941,2019-Q2
N_A,N_A,Y2Y3,N_A,DEBIT,GL_OP,S2942,2019-Q2
N_A,INR,Y2Y3,N_A,ADEBIT,GL_OP,S2943,2019-Q2
N_A,N_A,Y2Y3,N_A,CREDIT,GL_OP,S2944,2019-Q2
N_A,INR,Y2Y3,N_A,ACREDIT,GL_OP,S2945,2019-Q2
N_A,N_A,OY3,N_A,DEBIT,GL_OP,S2946,2019-Q2
N_A,INR,OY3,N_A,ADEBIT,GL_OP,S2947,2019-Q2
N_A,N_A,OY3,N_A,CREDIT,GL_OP,S2948,2019-Q2
N_A,INR,OY3,N_A,ACREDIT,GL_OP,S2949,2019-Q2
N_A,INR,N_A,LOPROIBA,N_A,GL_OP,S2950,2019-Q2
