Currency,COMMENT,TYPE_OF_EXPOSURE,SECUNSEC,NAME,Measure_Type,Loan_Type,DIRNAME,Bank_Type,Asset_Qual_Class,ASSET_CAT,Area_Operation,DMID,Time_Prd,TIME_PERIOD
INR,N_A,N_A,N_A,N_A,TOTAL,NBBPD,N_A,N_A,N_A,N_A,GL_OP,S332,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBBPD,N_A,N_A,N_A,N_A,GL_OP,S333,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBBPD,N_A,N_A,N_A,N_A,GL_OP,S334,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBBPD,N_A,N_A,N_A,N_A,GL_OP,S335,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBBPD,N_A,N_A,N_A,N_A,GL_OP,S336,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBBPD,N_A,N_A,N_A,N_A,GL_OP,S337,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBDL,N_A,N_A,N_A,N_A,GL_OP,S338,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBDL,N_A,N_A,N_A,N_A,GL_OP,S339,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBDL,N_A,N_A,N_A,N_A,GL_OP,S340,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBDL,N_A,N_A,N_A,N_A,GL_OP,S341,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBDL,N_A,N_A,N_A,N_A,GL_OP,S342,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBDL,N_A,N_A,N_A,N_A,GL_OP,S343,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBTL,N_A,N_A,N_A,N_A,GL_OP,S344,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBTL,N_A,N_A,N_A,N_A,GL_OP,S345,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBTL,N_A,N_A,N_A,N_A,GL_OP,S346,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBTL,N_A,N_A,N_A,N_A,GL_OP,S347,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBTL,N_A,N_A,N_A,N_A,GL_OP,S348,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBTL,N_A,N_A,N_A,N_A,GL_OP,S349,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBI,N_A,N_A,N_A,N_A,GL_OP,S350,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBI,N_A,N_A,N_A,N_A,GL_OP,S351,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBI,N_A,N_A,N_A,N_A,GL_OP,S352,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBI,N_A,N_A,N_A,N_A,GL_OP,S353,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBI,N_A,N_A,N_A,N_A,GL_OP,S354,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBI,N_A,N_A,N_A,N_A,GL_OP,S355,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBBR,N_A,N_A,N_A,N_A,GL_OP,S356,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBBR,N_A,N_A,N_A,N_A,GL_OP,S357,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBBR,N_A,N_A,N_A,N_A,GL_OP,S358,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBBR,N_A,N_A,N_A,N_A,GL_OP,S359,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOTAL,NBBR,N_A,N_A,N_A,N_A,GL_OP,S360,N_A,2019-Q2
INR,N_A,N_A,N_A,N_A,TOWHF,NBBR,N_A,N_A,N_A,N_A,GL_OP,S361,N_A,2019-Q2
